shop_name,url,place,types,star,price_dinner,price_lunch,holiday
Kogasaka Bake PATISSERIE&BAKERY 鶴川店,https://tabelog.com/tokyo/A1327/A132701/13270335/,鶴川駅 65m,パン、ケーキ、洋菓子（その他）,3,-,～￥999,無休
patisserie KIHACHI 東京ギフトパレット,https://tabelog.com/tokyo/A1302/A130201/13262313/,東京駅 159m,ケーキ、洋菓子（その他）,3,-,-,無休
パティスリー エ カフェ ア・ラ・カンパーニュ ルミネ立川,https://tabelog.com/tokyo/A1329/A132901/13274691/,立川駅 54m,カフェ,-,-,￥2000～￥2999,-
ラ・プティ・パティスリー・カオリ,https://tabelog.com/tokyo/A1326/A132601/13247583/,仙川駅 530m,洋菓子（その他）、パン,-,～￥999,～￥999,-
pâtisserie J'ouvre カメイドクロック店,https://tabelog.com/tokyo/A1312/A131202/13271182/,亀戸駅 268m,ケーキ,-,-,-,-
Patisserie Les gets,https://tabelog.com/tokyo/A1326/A132603/13264920/,和泉多摩川駅 838m,ケーキ,-,-,-,月曜日、火曜日、水曜日、木曜日、金曜日
パティスリー ピネード 南町田グランベリーパーク店,https://tabelog.com/tokyo/A1327/A132701/13261663/,南町田グランベリーパーク駅 274m,ケーキ、洋菓子（その他）,-,-,-,不定休(南町田グランベリーパークに準ずる)
パティスリー スワロウテイル,https://tabelog.com/tokyo/A1323/A132302/13166473/,向原駅 255m,洋菓子（その他）,-,-,-,-
パティスリー Toi et Moi,https://tabelog.com/tokyo/A1330/A133001/13037051/,あきる野市,ケーキ,-,-,-,火曜日
La petite patisserie de Mirayne,https://tabelog.com/tokyo/A1318/A131811/13108785/,代々木上原駅 363m,スイーツ（その他）、ケーキ、洋菓子（その他）,3.52,-,￥4000～￥4999,日・月
VIRON 丸の内店,https://tabelog.com/tokyo/A1302/A130201/13043904/,東京駅 320m,パン、ケーキ、カフェ,3.81,￥1000～￥1999,-,不定休（東京ビルＴＯＫＩＡに準ずる）
関口フランスパン パティスリーダノワーズ店,https://tabelog.com/tokyo/A1309/A130905/13004117/,江戸川橋駅 123m,パン、カフェ、サンドイッチ,3.63,-,～￥999,１２／３０～１／４
PARADIS 小石川本店,https://tabelog.com/tokyo/A1310/A131004/13116403/,春日駅 576m,カフェ、ケーキ,3.63,～￥999,￥1000～￥1999,無休　（年末年始など臨時休業あり）
PÂTISSERIE DOUNEL,https://tabelog.com/tokyo/A1328/A132804/13103568/,花小金井駅 734m,ケーキ、アイスクリーム,3.53,～￥999,～￥999,年中無休
ラ・メゾン アンソレイユターブル パティスリー恵比寿,https://tabelog.com/tokyo/A1303/A130302/13219483/,恵比寿駅 16m,ケーキ,3.28,￥1000～￥1999,￥1000～￥1999,-
ぱてぃすりーど・あん,https://tabelog.com/tokyo/A1326/A132601/13023398/,西調布駅 473m,ケーキ、チョコレート,3.17,-,～￥999,木曜日、第1・3水曜日
ニース洋菓子店,https://tabelog.com/tokyo/A1322/A132201/13204133/,西巣鴨駅 442m,ケーキ,3.07,-,￥1000～￥1999,火曜日
